indice_tiempo,emae_desestacionalizada,emae_tendencia_ciclo,emae_original
2016-11-01,146.12303492849747,145.69570276846858,144.93832064073018
2016-12-01,146.78220230986082,146.1283965877702,142.5901451603191
2017-01-01,147.6158298970543,146.6341109705645,136.70374369422606
2017-02-01,146.82315714083245,147.19739431568658,132.56798416911334
2017-03-01,148.09341595866925,147.80092910470063,152.14040651870232
2017-04-01,147.65957455877188,148.42535339649982,152.21644548112653
2017-05-01,148.24523703799247,149.04754144698083,167.46447380174214
2017-06-01,149.84284878028282,149.63756573628496,161.69032046043898
2017-07-01,149.96924520186138,150.16073147033097,149.80120380835868
2017-08-01,149.91600383773874,150.57976912601916,149.4481407725537
2017-09-01,151.77859763729504,150.85848732447744,146.69860797460208
2017-10-01,151.4461124960963,150.96573213351311,149.62563098292082
2017-11-01,153.07605283614325,150.8786661130935,152.3686305896353
2017-12-01,152.36062899190173,150.58663864883067,146.1011158547097
2018-01-01,152.16832796224585,150.0983692587431,142.62640967444068
2018-02-01,152.10997183468675,149.4366488150131,139.09460613115377
2018-03-01,152.07099566322515,148.63652613796282,155.63758931366172
2018-04-01,146.9859812188037,147.74358000277917,151.60219545391232
2018-05-01,143.85099100204985,146.8109804104373,159.1600626286847
2018-06-01,142.30144273049706,145.89326518044652,151.44965476070533
2018-07-01,143.1652350001513,145.0387768513227,145.7835414448572
2018-08-01,145.8596417949126,144.28568866234298,147.02641369061408
2018-09-01,143.82451373698447,143.65858817695627,137.89470801006783
2018-10-01,143.660963158443,143.17095597413274,143.55936389551331
2018-11-01,142.23120376844855,142.82412684697158,141.2042140162784
2018-12-01,142.50250891729888,142.60583623454215,135.6930175081938
2019-01-01,143.24905844754596,142.49430508477556,134.5251680719289
2019-02-01,143.56433655366223,142.46309049827602,132.57792712073018
2019-03-01,142.1730569335219,142.48104263298262,144.43100480902
2019-04-01,142.33963411500162,142.51719066442612,149.83839366029306
2019-05-01,142.69002381859448,142.5417237472745,162.8302737476512
2019-06-01,142.33913607476646,142.5277644927228,151.26480055301184
2019-07-01,144.68134024649558,142.45378941638316,146.20561370472925
2019-08-01,143.77549508619202,142.3058653742732,141.59099680361768
2019-09-01,142.3987330546223,142.0791909467959,135.06742137989133
2019-10-01,143.6913761045566,141.7787247768866,142.24924108076075
2019-11-01,141.82275118970568,141.41890881839745,138.1610994085908
2019-12-01,141.45129767800776,141.01931030107022,135.43429647408922
2020-01-01,140.63981053070077,140.60224202360908,131.8901668125346
2020-02-01,139.95172348728295,140.1891990008913,129.38032807919524
2020-03-01,125.69059670143305,139.80083978460138,127.95561372947269
2020-04-01,103.1951649048617,139.45373516479836,110.37184594181872
2020-05-01,113.529202091499,139.16315425491806,129.240012227328
